LanguagePack en-US|Translation
account.doubleOptinAccountAlert|Your customer account has not been activated yet. We have sent a confirmation email containing an activation link. Please check your inbox and click the link to complete the sign-up!
account.downloadFileButton|Download
account.downloadItemColumnDate|Date
account.downloadItemColumnTitle|File
account.faxLabel|Fax
account.faxPlaceholder|Enter fax
account.homepageLabel|Homepage
account.homepagePlaceholder|Enter homepage URL
account.passwordNotIdentical|The passwords you have entered do not match.
account.personalTypePlaceholder|Select...
account.profileCurrentMailPlaceholder|Enter email address...
account.profileDeleteText|"<a href=""%target%"" data-bs-toggle=""modal"" data-bs-target=""%target%"">Click here</a> to delete all your personal data."
account.profilePasswordCreateNewPlaceholder|Enter new password...
account.profilePasswordCurrentPlaceholder|Enter current password...
acrisFilter.buttonFiltersHide|Show less filters
acrisFilter.buttonFilterShowHideLabel|Show more or less filters
acrisFilter.buttonFiltersShow|Show more filters
acrisFilter.buttonHeaderSearchAllCategories|All categories
acrisFilter.filter.labelAfter|)
acrisFilter.filter.labelBefore|(
acrisFilter.filterAvailabilityDisplayName|Immediately available
acrisFilter.filterCategoriesDisplayName|Categories
acrisFilter.filterRangeActiveMaxLabel|Property %displayName% to
acrisFilter.filterRangeActiveMinLabel|Property %displayName% from
acrisFilter.filterRangeSliderFrom|from
acrisFilter.filterRangeSliderTo|to
acrisFilter.filterSearchPlaceholder|Search...
card.card-image|Image of %name%
card.linkTitle|Open %url% in new tab
cbaxLexicon.page.ajax.linkDescription|To the lexicon
cbaxLexicon.page.banner.alt|Banner
cbaxLexicon.page.boxKeyword.moreRead|Read more
cbaxLexicon.page.breadcrumb.name|Lexicon
cbaxLexicon.page.content.headline|Table of Contents
cbaxLexicon.page.content.metaDescription|Lexicon Meta Description Content
cbaxLexicon.page.content.metaKeywords|Lexicon Meta Keywords Content
cbaxLexicon.page.content.metaTitle|Table of Contents
cbaxLexicon.page.filter.button|Lexicon Navigation
cbaxLexicon.page.filter.headline|Lexicon Navigation
cbaxLexicon.page.index.metaDescription|Lexicon Meta Description Index
cbaxLexicon.page.index.metaKeywords|Lexicon Meta Keywords Index
cbaxLexicon.page.index.metaTitle|Lexicon
cbaxLexicon.page.listing.entryHeadline|Posts in this encyclopedia category
cbaxLexicon.page.listing.metaDescription09|Lexicon Meta Description Listing 0-9
cbaxLexicon.page.listing.metaDescriptionA|Lexicon Meta Description Listing A
cbaxLexicon.page.listing.metaDescriptionB|Lexicon Meta Description Listing B
cbaxLexicon.page.listing.metaDescriptionC|Lexicon Meta Description Listing C
cbaxLexicon.page.listing.metaDescriptionD|Lexicon Meta Description Listing D
cbaxLexicon.page.listing.metaDescriptionE|Lexicon Meta Description Listing E
cbaxLexicon.page.listing.metaDescriptionF|Lexicon Meta Description Listing F
cbaxLexicon.page.listing.metaDescriptionG|Lexicon Meta Description Listing G
cbaxLexicon.page.listing.metaDescriptionH|Lexicon Meta Description Listing H
cbaxLexicon.page.listing.metaDescriptionI|Lexicon Meta Description Listing I
cbaxLexicon.page.listing.metaDescriptionJ|Lexicon Meta Description Listing J
cbaxLexicon.page.listing.metaDescriptionK|Lexicon Meta Description Listing K
cbaxLexicon.page.listing.metaDescriptionL|Lexicon Meta Description Listing L
cbaxLexicon.page.listing.metaDescriptionM|Lexicon Meta Description Listing M
cbaxLexicon.page.listing.metaDescriptionN|Lexicon Meta Description Listing N
cbaxLexicon.page.listing.metaDescriptionO|Lexicon Meta Description Listing O
cbaxLexicon.page.listing.metaDescriptionP|Lexicon Meta Description Listing P
cbaxLexicon.page.listing.metaDescriptionQ|Lexicon Meta Description Listing Q
cbaxLexicon.page.listing.metaDescriptionR|Lexicon Meta Description Listing R
cbaxLexicon.page.listing.metaDescriptionS|Lexicon Meta Description Listing S
cbaxLexicon.page.listing.metaDescriptionT|Lexicon Meta Description Listing T
cbaxLexicon.page.listing.metaDescriptionU|Lexicon Meta Description Listing U
cbaxLexicon.page.listing.metaDescriptionV|Lexicon Meta Description Listing V
cbaxLexicon.page.listing.metaDescriptionW|Lexicon Meta Description Listing W
cbaxLexicon.page.listing.metaDescriptionX|Lexicon Meta Description Listing X
cbaxLexicon.page.listing.metaDescriptionY|Lexicon Meta Description Listing Y
cbaxLexicon.page.listing.metaDescriptionZ|Lexicon Meta Description Listing Z
cbaxLexicon.page.listing.metaKeywords09|Lexicon Meta Keywords Listing 0-9
cbaxLexicon.page.listing.metaKeywordsA|Lexicon Meta Keywords Listing A
cbaxLexicon.page.listing.metaKeywordsB|Lexicon Meta Keywords Listing B
cbaxLexicon.page.listing.metaKeywordsC|Lexicon Meta Keywords Listing C
cbaxLexicon.page.listing.metaKeywordsD|Lexicon Meta Keywords Listing D
cbaxLexicon.page.listing.metaKeywordsE|Lexicon Meta Keywords Listing E
cbaxLexicon.page.listing.metaKeywordsF|Lexicon Meta Keywords Listing F
cbaxLexicon.page.listing.metaKeywordsG|Lexicon Meta Keywords Listing G
cbaxLexicon.page.listing.metaKeywordsH|Lexicon Meta Keywords Listing H
cbaxLexicon.page.listing.metaKeywordsI|Lexicon Meta Keywords Listing I
cbaxLexicon.page.listing.metaKeywordsJ|Lexicon Meta Keywords Listing J
cbaxLexicon.page.listing.metaKeywordsK|Lexicon Meta Keywords Listing K
cbaxLexicon.page.listing.metaKeywordsL|Lexicon Meta Keywords Listing L
cbaxLexicon.page.listing.metaKeywordsM|Lexicon Meta Keywords Listing M
cbaxLexicon.page.listing.metaKeywordsN|Lexicon Meta Keywords Listing N
cbaxLexicon.page.listing.metaKeywordsO|Lexicon Meta Keywords Listing O
cbaxLexicon.page.listing.metaKeywordsP|Lexicon Meta Keywords Listing P
cbaxLexicon.page.listing.metaKeywordsQ|Lexicon Meta Keywords Listing Q
cbaxLexicon.page.listing.metaKeywordsR|Lexicon Meta Keywords Listing R
cbaxLexicon.page.listing.metaKeywordsS|Lexicon Meta Keywords Listing S
cbaxLexicon.page.listing.metaKeywordsT|Lexicon Meta Keywords Listing T
cbaxLexicon.page.listing.metaKeywordsU|Lexicon Meta Keywords Listing U
